"filename", "language", "Properties", "JSON", "Oracle-SQL and PLSQL", "JavaScript", "comment", "blank", "total"
"c:\Users\SKL\Desktop\Integradora\Back\.env", "Properties", 6, 0, 0, 0, 0, 1, 7
"c:\Users\SKL\Desktop\Integradora\Back\database\db.sql", "Oracle-SQL and PLSQL", 0, 0, 7, 0, 0, 1, 8
"c:\Users\SKL\Desktop\Integradora\Back\package.json", "JSON", 0, 26, 0, 0, 0, 1, 27
"c:\Users\SKL\Desktop\Integradora\Back\server\config.js", "JavaScript", 0, 0, 0, 3, 0, 3, 6
"c:\Users\SKL\Desktop\Integradora\Back\server\controllers\tasks.controllers.js", "JavaScript", 0, 0, 0, 333, 94, 111, 538
"c:\Users\SKL\Desktop\Integradora\Back\server\db.js", "JavaScript", 0, 0, 0, 18, 1, 3, 22
"c:\Users\SKL\Desktop\Integradora\Back\server\index.js", "JavaScript", 0, 0, 0, 15, 0, 6, 21
"c:\Users\SKL\Desktop\Integradora\Back\server\routes\index.routes.js", "JavaScript", 0, 0, 0, 3, 0, 3, 6
"c:\Users\SKL\Desktop\Integradora\Back\server\routes\tasks.routes.js", "JavaScript", 0, 0, 0, 35, 0, 31, 66
"Total", "-", 6, 26, 7, 407, 95, 160, 701